Title,Capacity,Material,Methods,Notes
HDPE Bottle 250 mL,250 mL,HDPE,EPA_537_1,537.1 drinking water; Trizma preservative added
HDPE Bottle 500 mL,500 mL,HDPE,EPA_1633A,1633A aqueous; no headspace requirement
HDPE Bottle 1 L,1 L,HDPE,EPA_1633A,high-volume aqueous
PP Centrifuge Tube 50 mL,50 mL,Polypropylene,EPA_1633A;FDA_32PFAS,"solids, tissue, biosolid"
PP Jar 250 mL,250 mL,Polypropylene,EPA_1633A,soil / sediment / biosolid
PP Bag (Whirl-Pak),varies,Polyethylene,FDA_32PFAS,food / tissue field collection
Foil-wrapped (PFAS-free),varies,Aluminium foil,FDA_32PFAS,meat/fish wrap; no fluoropolymer contact
