MethodID,Title,Description,Instrument,CalLadder
FDA_32PFAS,USDA/FDA 32-PFAS in Food v10,LC-MS/MS isotope dilution; AOAC SMPR 2023.003 criteria,SCIEX OS (LC-MS/MS),20.0;10.0;5.0;2.5;1.25;0.625;0.313;0.156;0.078;0.039
EPA_537_1,EPA 537.1 PFAS in Drinking Water,"SPE + LC-MS/MS, internal standard calibration, origin-forced curve",Waters/Agilent LC-MS/MS,2.0;4.0;8.0;16.0;40.0;80.0;160.0
EPA_1633A,EPA 1633A PFAS (aqueous/solid/biosolid/tissue),"Isotope dilution LC-MS/MS, 40 analytes, per-analyte EIS limits",LC-MS/MS,0.5;1.0;2.0;5.0;10.0;20.0;50.0;100.0
